Game State,Home Team,Home Conference,Home Score,Away Team,Away Conference,Away Score,Result,Neutral Field?,Date,NCAA Game ID Link
final,George Washington,Atlantic 10,2,Old Dominion,Sun Belt,4,-1,0,08-22-2024,/game/6309614
final,VMI,SoCon,4,Emory & Henry,SAC,2,1,0,08-22-2024,/game/6309615
final,Delaware,CAA,3,Howard,NEC,0,1,0,08-22-2024,/game/6309616
final,Boston U.,Patriot,0,New Hampshire,America East,0,0,0,08-22-2024,/game/6309622
final,Villanova,Big East,2,Saint Peter's,MAAC,2,0,0,08-22-2024,/game/6309621
final,LIU,NEC,2,Stony Brook,CAA,1,1,0,08-22-2024,/game/6309620
final,Robert Morris,Horizon,0,Bucknell,Patriot,2,-1,0,08-22-2024,/game/6309617
final,Le Moyne,NEC,3,Canisius,MAAC,2,1,0,08-22-2024,/game/6309618
final,Louisville,ACC,2,Jacksonville,ASUN,0,1,0,08-22-2024,/game/6309630
final,Siena,MAAC,0,Massachusetts,Atlantic 10,0,0,0,08-22-2024,/game/6309628
final,Ga. Southern,Sun Belt,0,Wofford,SoCon,0,0,0,08-22-2024,/game/6309625
final,St. Thomas (MN),Summit League,1,NIU,MVC,0,1,0,08-22-2024,/game/6309619
final,Boston College,ACC,2,Iona,MAAC,2,0,0,08-22-2024,/game/6309632
final,Western Mich.,MVC,3,Vermont,America East,1,1,0,08-22-2024,/game/6309631
final,Eastern Ill.,OVC,3,UChicago,UAA,0,1,0,08-22-2024,/game/6309629
final,Sacred Heart,MAAC,4,Holy Cross,Patriot,2,1,0,08-22-2024,/game/6309639
final,Niagara,MAAC,2,UAlbany,America East,3,-1,0,08-22-2024,/game/6309638
final,Temple,The American,1,Army West Point,Patriot,1,0,0,08-22-2024,/game/6309637
final,UMass Lowell,America East,1,Lafayette,Patriot,1,0,0,08-22-2024,/game/6309641
final,NC State,ACC,3,High Point,Big South,2,1,0,08-22-2024,/game/6309635
final,St. Bonaventure,Atlantic 10,0,Saint Francis,NEC,3,-1,0,08-22-2024,/game/6309634
final,FDU,NEC,3,Manhattan,MAAC,2,1,0,08-22-2024,/game/6309642
final,Milwaukee,Horizon,0,Lindenwood,OVC,0,0,0,08-22-2024,/game/6309627
final,Marquette,Big East,2,Drexel,CAA,0,1,0,08-22-2024,/game/6309633
final,Providence,Big East,2,Quinnipiac,MAAC,0,1,0,08-22-2024,/game/6309656
final,Colgate,Patriot,0,Syracuse,ACC,1,-1,0,08-22-2024,/game/6309665
final,South Carolina,Sun Belt,7,Winthrop,Big South,1,1,0,08-22-2024,/game/6309664
final,Virginia Tech,ACC,4,North Florida,ASUN,0,1,0,08-22-2024,/game/6309663
final,Virginia,ACC,3,Rider,MAAC,0,1,0,08-22-2024,/game/6309662
final,West Virginia,Sun Belt,4,Purdue Fort Wayne,Horizon,2,1,0,08-22-2024,/game/6309661
final,Mount St. Mary's,MAAC,0,Binghamton,America East,1,-1,0,08-22-2024,/game/6309660
final,Georgia St.,Sun Belt,0,Belmont,MVC,0,0,0,08-22-2024,/game/6309659
final,Duquesne,Atlantic 10,3,Seton Hill,PSAC,1,1,0,08-22-2024,/game/6309672
final,Butler,Big East,2,Southern Ind.,OVC,1,1,0,08-22-2024,/game/6309666
final,Navy,Patriot,0,George Mason,Atlantic 10,2,-1,0,08-22-2024,/game/6309667
final,American,Patriot,0,California Baptist,WAC,0,0,0,08-22-2024,/game/6309655
final,UMBC,America East,1,Maryland,Big Ten,1,0,1,08-22-2024,/game/6311281
final,Dayton,Atlantic 10,5,Detroit Mercy,Horizon,1,1,0,08-22-2024,/game/6309668
final,Lehigh,Patriot,0,La Salle,Atlantic 10,0,0,0,08-22-2024,/game/6309679
final,Elon,CAA,1,FGCU,ASUN,0,1,0,08-22-2024,/game/6309670
final,Bellarmine,ASUN,1,Evansville,MVC,2,-1,0,08-22-2024,/game/6309671
final,Xavier,Big East,0,Northern Ky.,Horizon,0,0,0,08-22-2024,/game/6309678
final,UNC Greensboro,SoCon,3,USC Upstate,Big South,0,1,0,08-22-2024,/game/6309674
final,Oakland,Horizon,1,Omaha,Summit League,2,-1,0,08-22-2024,/game/6309673
final,Rutgers,Big Ten,3,Northeastern,CAA,1,1,0,08-22-2024,/game/6309548
final,Clemson,ACC,3,Penn St.,Big Ten,0,1,0,08-22-2024,/game/6309534
final,Hofstra,CAA,0,Fordham,Atlantic 10,0,0,0,08-22-2024,/game/6309651
final,Michigan,Big Ten,1,Loyola Chicago,Atlantic 10,0,1,0,08-22-2024,/game/6309582
final,Wake Forest,ACC,1,VCU,Atlantic 10,2,-1,0,08-22-2024,/game/6309650
final,Coastal Carolina,Sun Belt,2,Col. of Charleston,CAA,4,-1,0,08-22-2024,/game/6309648
final,South Fla.,The American,1,Seattle U,WAC,4,-1,0,08-22-2024,/game/6309647
final,FIU,The American,0,Seton Hall,Big East,1,-1,0,08-22-2024,/game/6309644
final,UAB,The American,0,North Carolina,ACC,1,-1,0,08-22-2024,/game/6309640
final,Creighton,Big East,0,Fla. Atlantic,The American,0,0,0,08-22-2024,/game/6309636
final,Rhode Island,Atlantic 10,2,St. John's (NY),Big East,0,1,0,08-22-2024,/game/6309682
final,Marshall,Sun Belt,3,Cal St. Fullerton,Big West,0,1,0,08-22-2024,/game/6309683
final,Saint Joseph's,Atlantic 10,1,Merrimack,MAAC,2,-1,0,08-22-2024,/game/6309689
final,California,ACC,1,Denver,Summit League,2,-1,0,08-22-2024,/game/6309623
final,Liberty,OVC,5,Mount Olive,Conference Carolinas,0,1,0,08-22-2024,/game/6309684
final,NJIT,America East,1,Loyola Maryland,Patriot,1,0,0,08-22-2024,/game/6309686
final,Kentucky,Sun Belt,3,Oral Roberts,Summit League,2,1,0,08-22-2024,/game/6309687
final,UConn,Big East,6,Stonehill,NEC,0,1,0,08-22-2024,/game/6309690
final,UIW,OVC,0,IU Indy,Horizon,2,-1,0,08-22-2024,/game/6309653
final,UCF,Sun Belt,3,Mercer,SoCon,1,1,0,08-22-2024,/game/6309692
final,Furman,SoCon,1,UNCW,CAA,1,0,0,08-22-2024,/game/6309693
final,Pittsburgh,ACC,2,Georgetown,Big East,0,1,0,08-22-2024,/game/6309695
final,Notre Dame,ACC,1,Akron,Big East,1,0,0,08-22-2024,/game/6309696
final,Northwestern,Big Ten,2,Green Bay,Horizon,0,1,0,08-22-2024,/game/6309518
final,Saint Mary's (CA),WCC,0,Kansas City,Summit League,1,-1,0,08-22-2024,/game/6309624
final,Memphis,The American,1,Lipscomb,ASUN,2,-1,0,08-22-2024,/game/6309649
final,Ohio St.,Big Ten,1,Cleveland St.,Horizon,1,0,0,08-22-2024,/game/6309502
final,Sacramento St.,Big West,1,Utah Valley,WAC,3,-1,0,08-22-2024,/game/6309626
final,Houston Christian,OVC,2,Gardner-Webb,Big South,3,-1,0,08-22-2024,/game/6309669
final,Wisconsin,Big Ten,4,Marist,MAAC,0,1,0,08-22-2024,/game/6309572
final,Bradley,MVC,1,Chicago St.,NEC,0,1,0,08-22-2024,/game/6309652
final,ETSU,SoCon,3,Longwood,Big South,1,1,0,08-22-2024,/game/6309699
final,Drake,MVC,3,Grand View,IND,0,1,0,08-22-2024,/game/6309685
final,Central Ark.,ASUN,3,Evangel,IND,0,1,0,08-22-2024,/game/6309691
final,SIUE,OVC,1,Michigan St.,Big Ten,1,0,0,08-22-2024,/game/6309561
final,UIC,MVC,3,DePaul,Big East,4,-1,0,08-22-2024,/game/6309694
final,SMU,ACC,1,Air Force,WAC,0,1,0,08-22-2024,/game/6309698
final,UC Santa Barbara,Big West,3,Missouri St.,MVC,1,1,0,08-22-2024,/game/6309645
final,CSU Bakersfield,Big West,1,Utah Tech,WAC,0,1,0,08-22-2024,/game/6309654
final,Oregon St.,WCC,2,UC Irvine,Big West,1,1,0,08-22-2024,/game/6309657
final,Stanford,ACC,2,San Jose St.,WAC,1,1,0,08-22-2024,/game/6309658
final,Gonzaga,WCC,4,Northwest (WA),IND,1,1,0,08-22-2024,/game/6309646
final,Pacific,WCC,1,UC Davis,Big West,0,1,0,08-22-2024,/game/6309676
final,UCLA,Big Ten,2,LMU (CA),WCC,0,1,0,08-22-2024,/game/6309592
final,San Diego,WCC,2,Duke,ACC,2,0,0,08-22-2024,/game/6309681
final,UC San Diego,Big West,0,Santa Clara,WCC,1,-1,0,08-22-2024,/game/6309680
final,CSUN,Big West,0,James Madison,Sun Belt,0,0,0,08-22-2024,/game/6309675
final,Grand Canyon,WAC,3,Western Ill.,OVC,0,1,0,08-22-2024,/game/6309677
final,San Francisco,WCC,0,Cal Poly,Big West,0,0,0,08-22-2024,/game/6309688
final,UNLV,WAC,2,Tulsa,The American,0,1,0,08-22-2024,/game/6309697
final,UNC Asheville,Big South,3,Stetson,ASUN,1,1,0,08-23-2024,/game/6309700
final,Monmouth,CAA,4,Fairfield,MAAC,0,1,0,08-23-2024,/game/6309701
final,Bowling Green,MVC,3,Wright St.,Horizon,2,1,0,08-23-2024,/game/6309702
final,Charlotte,AAC,3,Davidson,Atlantic 10,0,1,0,08-23-2024,/game/6309703
final,Campbell,CAA,2,Radford,Big South,1,1,0,08-23-2024,/game/6309704
final,Saint Louis,Atlantic 10,2,Indiana,Big Ten,0,1,0,08-23-2024,/game/6309602
final,San Diego St.,WAC,5,UC Riverside,Big West,2,1,0,08-23-2024,/game/6309705
final,Portland,WCC,2,Washington,Big Ten,1,1,0,08-23-2024,/game/6311274
final,Presbyterian,Big South,9,Erskine,Conference Carolinas,0,1,0,08-24-2024,/game/6309706
final,San Francisco,WCC,2,Kansas City,Summit League,2,0,0,08-24-2024,/game/6309707
final,Stonehill,NEC,1,Navy,Patriot,1,0,0,08-25-2024,/game/6309708
final,Binghamton,America East,1,Le Moyne,NEC,0,1,0,08-25-2024,/game/6309710
final,George Washington,Atlantic 10,2,Saint Peter's,MAAC,1,1,0,08-25-2024,/game/6309713
final,Duquesne,Atlantic 10,3,Canisius,MAAC,1,1,0,08-25-2024,/game/6309714
final,Wisconsin,Big Ten,4,Drexel,CAA,0,1,0,08-25-2024,/game/6309571
final,Michigan,Big Ten,2,Oakland,Horizon,1,1,0,08-25-2024,/game/6309583
final,Milwaukee,Horizon,3,Bradley,MVC,2,1,0,08-25-2024,/game/6309711
final,Lindenwood,OVC,1,UTRGV,WAC,3,-1,0,08-25-2024,/game/6309712
final,Dayton,Atlantic 10,0,Jacksonville,ASUN,3,-1,0,08-25-2024,/game/6309719
final,South Carolina,Sun Belt,2,North Florida,ASUN,2,0,0,08-25-2024,/game/6309718
final,Marquette,Big East,6,Marist,MAAC,1,1,0,08-25-2024,/game/6309715
final,UAlbany,America East,0,LIU,NEC,1,-1,0,08-25-2024,/game/6309721
final,NIU,MVC,4,Chicago St.,NEC,2,1,0,08-25-2024,/game/6309717
final,UC Davis,Big West,2,Utah Valley,WAC,2,0,0,08-25-2024,/game/6309709
final,NC State,ACC,1,FGCU,ASUN,0,1,0,08-25-2024,/game/6309724
final,Mount St. Mary's,MAAC,3,Robert Morris,Horizon,3,0,0,08-25-2024,/game/6309725
final,Cleveland St.,Horizon,1,St. Bonaventure,Atlantic 10,0,1,0,08-25-2024,/game/6309726
final,UCF,Sun Belt,1,Seattle U,WAC,1,0,0,08-25-2024,/game/6309727
